Abbr,Value
Lu-177,3.7
Lu-177m,0.37
Lu-178,37
Lu-178m,37
Lu-179,37
Md-257,3.7
Md-258,0.037
Mg-28,0.37
Mn-51,37
Mn-52,0.37
Mn-52m,37
Mn-53,37
Mn-54,0.37
Mn-56,3.7
Mo-90,3.7
Mo-93,3.7
Mo-93m,0.37
Mo-99,3.7
Mo-101,37
N-13,0.037
Na-22,0.37
Na-24,0.37
Nb-88,3.7
Nb-89(short),3.7
Nb-89(long),3.7
Nb-90,0.37
Nb-93m,3.7
Nb-94,0.37
Nb-95,0.37
Nb-95m,3.7
Nb-96,0.37
Nb-97,3.7
Nb-98,37
Nd-136,37
Nd-138,37
Nd-139,37
Nd-139m,3.7
Nd-141,37
Nd-147,0.37
Nd-149,3.7
Nd-151,37
Ni-56,0.37
Ni-57,0.37
Ni-59,3.7
Ni-63,3.7
Ni-65,3.7
Ni-66,0.37
Np-232,37
Np-233,37
Np-234,0.37
Np-235,37
Np-236(short),3.7
Np-236(long),0.0037
Np-237,0.00037
Np-238,0.00037
Np-239,3.7
Np-240,3.7
Os-180,37
Os-181,3.7
Os-182,3.7
Os-185,0.37
Os-189m,37
Os-191,3.7
Os-191m,37
Os-193,3.7
Os-194,0.037
P-32,0.0037
P-33,0.037
Pa-227,3.7
Pa-228,0.37
Pa-230,0.37
Pa-231,0.00037
Pa-232,0.37
Pa-233,3.7
Pa-234,0.37
Pb-195m,37
Pb-198,3.7
Pb-199,3.7
Pb-200,3.7
Pb-201,3.7
Pb-202,0.037
Pb-202m,0.37
Pb-203,3.7
Pb-205,3.7
Pb-209,37
Pb-210,0.00037
Pb-211,3.7
Pb-212,0.37
Pb-214,3.7
Pd-100,3.7
Pd-101,3.7
Pd-103,3.7
Pd-107,3.7
Pd-109,37
Pm-141,37
Pm-143,3.7
Pm-144,0.37
Pm-145,3.7
Pm-146,0.37
Pm-147,0.37
Pm-148,0.37
Pm-148m,0.37
Pm-149,3.7
Pm-150,3.7
Pm-151,3.7
Po-203,3.7
Po-205,3.7
Po-207,0.37
Po-210,0.00037
Pr-136,37
Pr-137,37
Pr-138m,3.7
Pr-139,37
Pr-142,3.7
Pr-142m,37
Pr-143,0.37
Pr-144,37
Pr-145,37
Pr-147,37
Pt-186,3.7
Pt-188,3.7
Pt-189,3.7
Pt-191,3.7
Pt-193,37
Pt-193m,3.7
Pt-195m,3.7
Pt-197,37
Pt-197m,37
Pt-199,37
Pt-200,3.7
Pu-234,37
Pu-235,37
Pu-236,0.0037
Pu-237,37
Pu-238,0.00037
Pu-239,0.00037
Pu-240,0.00037
Pu-241,0.037
Pu-242,0.00037
Pu-243,37
Pu-244,0.00037
Pu-245,3.7
Ra-223,0.037
Ra-224,0.37
Ra-225,0.037
Ra-226,0.0037
Ra-227,37
Ra-228,0.0037
Rb-79,37
Rb-81,3.7
Rb-81m,37
Rb-82m,0.37
Rb-83,0.37
Rb-84,0.37
Rb-86,0.37
Rb-87,0.37
Rb-88,37
Rb-89,37
Re-177,37
Re-178,37
Re-181,3.7
Re-182(short),0.37
Re-182(long),0.37
Rb,0.037
Re-184,0.37
Re-184m,0.37
Re-186,3.7
Re-186m,0.37
Re-187,37
Re-188,37
Re-188m,37
Re-189,37
Re,0.037
Rh-99,0.37
Rh-99m,3.7
Rh-100,0.37
Rh-101,0.37
Rh-101m,3.7
Rh-102,0.37
Rh-102m,0.37
Rh-103m,37
Rh-105,3.7
Rh-106m,0.37
Rh-107,37
Rn-220,0.0037
Rn-222,0.0037
Ru-94,37
Ru-97,3.7
Ru-103,0.37
Ru-105,3.7
Ru-106,0.037
S-35,0.037
Sb-115,37
Sb-116,37
Sb-116m,3.7
Sb-117,37
Sb-118m,0.37
Sb-119,37
Sb-120(short),37
Sb-120(long),0.37
Sb-122,0.37
Sb-124,0.37
Sb-124m,37
Sb-125,0.37
Sb-126,0.37
Sb-126m,37
Sb-127,0.37
Sb-128(short),37
Sb-128(long),0.37
Sb-129,3.7
Sb-130,3.7
Sb-131,37
Sc-43,37
Sc-44,3.7
Sc-44m,0.37
Sc-46,0.37
Sc-47,3.7
Sc-48,0.37
Sc-49,37
Se-70,37
Se-73,0.37
Se-73m,3.7
Se-75,0.37
Se-79,0.37
Se-81,37
Se-81m,37
Se-83,37
Si-31,37
Si-32,0.037
Sm-141,37
Sm-141m,37
Sm-142,37
Sm-145,3.7
Sm-146,0.00037
Sm-147,0.00037
Sm-151,0.37
Sm-153,3.7
Sm-155,37
Sm-156,3.7
Sn-110,3.7
Sn-111,37
Sn-113,0.37
Sn-117m,3.7
Sn-119m,0.37
Sn-121,37
Sn-121m,0.37
Sn-123,0.37
Sn-123m,37
Sn-125,0.37
Sn-126,0.037
Sn-127,3.7
Sn-128,37
Sr-80,3.7
Sr-81,37
Sr-83,3.7
Sr-82,0.037
Sr-85,0.37
Sr-85m,37
Sr-87m,3.7
Sr-89,0.37
Sr-90,0.0037
Sr-91,0.37
Sr-92,3.7
T,3.7
Ta-172,3.7
Ta-173,3.7
Ta-174,3.7
Ta-175,3.7
Ta-176,0.37
Ta-177,37
Ta-178,37
Ta-179,37
Ta-180,3.7
Ta-180m,37
Ta-182,0.37
Ta-182m,37
Ta-183,3.7
Ta-184,0.37
Ta-185,37
Ta-186,37
Tb-147,3.7
Tb-149,3.7
Tb-150,3.7
Tb-151,0.37
Tb-153,3.7
Tb-154,0.37
Tb-155,3.7
Tb-156,0.37
Tb-156m(short),37
Tb-156m(long),37
Tb-157,3.7
Tb-158,0.37
Tb-160,0.37
Tb-161,3.7
Tc-93,3.7
Tc-93m,37
Tc-94,0.37
Tc-94m,3.7
Tc-95m,0.037
Tc-96,0.37
Tc-96m,37
Tc-97,3.7
Tc-97m,3.7
Tc-98,0.37
Tc-99,0.37
Tc-99m,3.7
Tc-101,37
Tc-104,37
Te-116,37
Te-121,0.37
Te-121m,0.37
Te-123,0.37
Te-123m,0.37
Te-125m,0.37
Te-127,37
Te-127m,0.37
Te-129,37
Te-129m,0.37
Te-131,37
Te-131m,0.37
Te-132,0.37
Te-133,37
Te-133m,37
Te-134,37
Th-226,3.7
Th-227,0.037
Th-228,0.00037
Th-229,0.000037
Th-230,0.00037
Th-231,3.7
Th-232,0.000037
Th-234,3.7
Th,0
Th(irradiated),-1234321
Th(natural),-1234321
Ti-44,0.037
Ti-45,37
Tl-194,37
Tl-194m,3.7
Tl-195,3.7
Tl-197,3.7
Tl-198,0.37
Tl-198m,3.7
Tl-199,3.7
Tl-200,0.37
Tl-201,37
Tl-202,0.37
Tl-204,0.37
Tm-162,37
Tm-166,0.37
Tm-167,3.7
Tm-170,0.37
Tm-171,3.7
Tm-172,3.7
Tm-173,3.7
Tm-175,37
U-230f,0.037
U-230m,0.037
U-230s,0.037
U-231,37
U-232f,0.00037
U-232m,0.037
U-232s,0.037
U-233f,0.0037
U-233m,0.037
U-233s,0.037
U-234f,0.0037
U-234m,0.037
U-234s,0.037
U-235,0.0037
U-235f,0.0037
U-235m,0.0037
U-235s,0.0037
U-236f,0.0037
U-236m,0.037
U-236s,0.037
U-237,3.7
U-238,0.0037
U-238f,0.0037
U-238m,0.0037
U-238s,0.0037
U-239,37
U-240,37
U,0.0037
V-47,37
V-48,0.37
V-49,37
W-176,37
W-177,3.7
W-178,3.7
W-179,37
W-181,3.7
W-185,0.37
W-187,3.7
W-188,0.37
Xe-120,3.7
Xe-121,0.37
Xe-122,3.7
Xe-123,0.37
Xe-125,3.7
Xe-127,3.7
Xe-129m,37
Xe-131m,37
Xe-133,37
Xe-133m,37
Xe-135,3.7
Xe-135m,0.37
Xe-138,0.37
Y-86,0.37
Y-86m,37
Y-87,0.37
Y-88,0.37
Y-90,0.37
Y-90m,3.7
Y-91,0.37
Y-91m,37
Y-92,3.7
Y-93,3.7
Y-94,37
Y-95,37
Yb-162,37
Yb-166,0.37
Yb-167,37
Yb-169,0.37
Yb-175,3.7
Yb-177,37
Yb-178,37
Zn-62,3.7
Zn-63,37
Zn-65,0.37
Zn-69,37
Zn-69m,3.7
Zn-71m,3.7
Zn-72,3.7
Zr-86,3.7
Zr-88,0.37
Zr-89,3.7
Zr-93,0.037
Zr-95,0.37
Zr-97,0.37
