Abbr,Value
Sr-91,-2101
Sr-92,-2101
T,-2101
Ta-178,-2101
Ta-179,-2101
Tb-157,-2101
Tb-158,-2101
Tb-160,-2101
Tc-96,-2101
Tc-96m,-2101
Tc-97,-2101
Tc-97m,-2101
Tc-98,-2101
Te-121,-2101
Te-121m,-2101
Te-123m,-2101
Te-125m,-2101
Te-127,-2101
Te-127m,-2101
Te-129,-2101
Te-129m,-2101
Te-131m,-2101
Te-132,-2101
Th,-2101
Th-227,-2101
Th-229,-2101
Th-231,-2101
Th-234,-2101
Ti-44,-2101
Tl-200,-2101
Tl-202,-2101
Tm-167,-2101
Tm-170,-2101
Tm-171,-2101
U,-2101
U-230f,-2101
U-230m,-2101
U-230s,-2101
U-232f,-2101
U-232m,-2101
U-232s,-2101
U-233f,-2101
U-233m,-2101
U-233s,-2101
U-234f,-2101
U-234m,-2101
U-234s,-2101
U-235,-2101
U-236f,-2101
U-236m,-2101
U-236s,-2101
V-49,-2101
W-178,-2101
W-181,-2101
W-185,-2101
W-188,-2101
Xe-122,-2101
Xe-123,-2101
Xe-127,-2101
Xe-131m,-2101
Xe-135,-2101
Y-87,-2101
Y-91,-2101
Y-91m,-2101
Y-92,-2101
Y-93,-2101
Yb-175,-2101
Zn-69,-2101
Zn-69m,-2101
Zr-88,-2101
Zr-93,-2101
Zr-97,-2101
