Symbol, Mass_Number, Val, Version
Os, 191m, -Infinity, 0
Os, 193, -Infinity, 0
Os, 194, -Infinity, 0
P, 32, 0.048505751, 0
P, 33, 0.027289259, 0
Pa, 230, -Infinity, 0
Pa, 231, -Infinity, 0
Pa, 233, -Infinity, 0
Pb, 201, -Infinity, 0
Pb, 202, -Infinity, 0
Pb, 203, -Infinity, 0
Pb, 205, -Infinity, 0
Pb, 210, 8.52531e-05, 0
Pb, 212, -Infinity, 0
Pd, 103, 0.040869527, 0
Pd, 107, -Infinity, 0
Pd, 109, -Infinity, 0
Pm, 143, -Infinity, 0
Pm, 144, -Infinity, 0
Pm, 145, -Infinity, 0
Pm, 147, 0.000723387, 0
Pm, 148m, -Infinity, 0
Pm, 149, -Infinity, 0
Pm, 151, -Infinity, 0
Po, 208, 0.000654842, 0
Po, 210, 0.005009085, 0
Pr, 142, -Infinity, 0
Pr, 143, -Infinity, 0
Pt, 188, 0.069314718, 0
Pt, 191, 0.247375867, 0
Pt, 193, -Infinity, 0
Pt, 193m, -Infinity, 0
Pt, 195m, 0.172424672, 0
Pt, 197, -Infinity, 0
Pt, 197m, -Infinity, 0
Pu, 236, -Infinity, 0
Pu, 237, -Infinity, 0
Pu, 238, -Infinity, 0
Pu, 239, 7.8643e-08, 0
Pu, 240, -Infinity, 0
Pu, 241, -Infinity, 0
Pu, 242, -Infinity, 0
Pu, 244, -Infinity, 0
Ra, 223, -Infinity, 0
Ra, 224, -Infinity, 0
Ra, 225, -Infinity, 0
Ra, 226, 1.18608e-06, 0
Ra, 226d, 1.18608e-06, 0
Ra, 226p, 1.18608e-06, 0
Ra, 228, -Infinity, 0
Rb, nat, -Infinity, 0
Rb, 81, -Infinity, 0
Rb, 82, 499.06597, 0
Rb, 83, 0.008041151, 0
Rb, 84, -Infinity, 0
Rb, 86, 0.037066694, 0
Rb, 87, -Infinity, 0
Re, nat, -Infinity, 0
Re, 184, -Infinity, 0
Re, 184m, -Infinity, 0
Re, 186, -Infinity, 0
Re, 187, -Infinity, 0
Re, 188, -Infinity, 0
Re, 189, -Infinity, 0
Rh, 99, -Infinity, 0
Rh, 101, -Infinity, 0
Rh, 102, -Infinity, 0
Rh, 102m, -Infinity, 0
Rh, 103m, -Infinity, 0
Rh, 105, 0.470501805, 0
Rn, 222, -Infinity, 0
Ru, 97, -Infinity, 0
Ru, 103, 0.017614922, 0
Ru, 105, -Infinity, 0
Ru, 106, 0.001855369, 0
S, 35, 0.007927118, 0
Sb, 122, 0.254459317, 0
Sb, 124, 0.011514073, 0
Sb, 125, -Infinity, 0
Sb, 126, -Infinity, 0
Sc, 44, 4.265521111, 0
Sc, 46, 0.008268486, 0
Sc, 47, 0.206959029, 0
Sc, 48, -Infinity, 0
Se, 72, 0.082517521, 0
Se, 75, 0.005786836, 0
Se, 79, -Infinity, 0
Si, 31, -Infinity, 0
