"ABBR"
"Au-196"
"In-115"
"Kr-79"
"Re-183"
"U-230f"
"U-230m"
"U-230s"
"U-232f"
"U-232m"
"U-232s"
"U-233f"
"U-233m"
"U-233s"
"U-234f"
"U-234m"
"U-234s"
"U-236f"
"U-236m"
"U-236s"
